number,address,block,lot
35,Fulton Avenue,25903,19
148-150,Fulton Avenue,25704,37
118,Fulton Avenue,25704,22
17,Fulton Avenue,25903,28
37,Fulton Avenue,25903,18
86,Fulton Avenue,25804,26
37,Gardner Avenue,16803,21
58,Gardner Avenue,16802,60
19,Gardner Avenue,16803,28
21,Gardner Avenue,16803,27
46,Gardner Avenue,16802,55
29,Gardner Avenue,16803,24
641,Garfield Avenue,24101,39
554,Garfield Avenue,26001,21
629,Garfield Avenue,24102,39
623,Garfield Avenue,24102,42
195,Grand Street,14205,13
460,Grand Street,13801,06
723,Grand Street,17202,01
306,Grand Street,13904,19
746,Grand Street,18703,09
10,Grant Avenue,23201,22
116,Grant Avenue,23101,50
145,Grant Avenue,23102,3
147,Grant Avenue,23102,2
19,Grant Avenue,23202,28
15,Grant Avenue,23202,30
125,Grant Avenue,23102,9
27,Greenville Avenue,28603,26
144,Greenville Avenue,28002,28
21,Greenville Avenue,28603,29
163,Griffith Street,3704,29
32,Griffith Street,03002,07
248,Grove Street,14103,54
324,Halladay Street,19007,28
332,Halladay Street,19007,32
102,Halladay Street,21502,16
104,Halladay Street,21502,17
214,Halladay Street,20103,2
182,Hancock Avenue,2205,20
66,Harmon Street,18702,18
64,Harmon Street,18702,17
68,Harmon Street,18702,19
100,Harrison Avenue,17906,40
46,Harrison Avenue,16901,24
48,Harrison Avenue,16901,23
152,Harrison Avenue,17804,22
271,Harrison Avenue,18301,8
247,Harrison Avenue,18301,20
208,Harrison Avenue,17702,28
77,Harrison Avenue,17905,26
4,Hemlock Street,26102,08
3,Herbert Place,9401,19
109.5,Highland Avenue,13204,27
18,Highland Avenue,133023,33
121.5,Highland Avenue,13204,21
20,Highland Avenue,13302,35
414-416,Hoboken Avenue,6701,6.01
425-427,Hoboken Avenue,8101,9
423,Hoboken Avenue,8101,7
428,Hoboken Avenue,06701,10
432,Hoboken Avenue,06701,12
5,Holmes Avenue,11804,14
179,Hopkins Avenue,6601,2
131,Irving Street,704,4
73,Irving Street,00805,01
853,Jersey Avenue,06005,10
571,Jersey Avenue,11108,22
598,Jersey Avenue,11205,43
596,Jersey Avenue,11205,43
66,Jewett Avenue,16601,40
156,Jewett Avenue,16601,35
262-272,Johnston Avenue,15801,50
342,Johnston Avenue,17506,11
337-339,Johnston Avenue,19002,1
45,Jordan Avenue,13504,1
43,Jordan Avenue,13504,2
3168,Kennedy Boulevard aka JFK Blvd,5402,16
2315,Kennedy Boulevard aka JFK Blvd,19303,33
3085,Kennedy Boulevard aka JFK Blvd,6304,4
1904,Kennedy Boulevard aka JFK Blvd,25503,9
3411,Kennedy Boulevard aka JFK Blvd,3402,9
3656,Kennedy Boulevard aka JFK Blvd,801,1
3235,Kennedy Boulevard aka JFK Blvd,4603,16.01
3447,Kennedy Boulevard aka JFK Blvd,02602,19
3342,Kennedy Boulevard aka JFK Blvd,03502,35
97,Laidlaw Avenue,05705,14
285,Lembeck Avenue,27901,26
18.5,Lewis Avenue,6202,16
99,Lexington Avenue,19302,14
270,Lexington Avenue,18103,62
259,Liberty Avenue,4201,18
395,Liberty Avenue,2503,49
195,Liberty Avenue,4601,31
72,Lincoln Street,2703,28
215,Lincoln Street,3302,29
85,Lincoln Street,02702,06
272,Linden Avenue,28001,33
266,Linden Avenue,28001,30.01
312,Linden Avenue,26801,42
277,Linden Avenue,28001,35
218,Linden Avenue,28102,54
7,Lineau Place,4902,27
35,Locust Street,26102,0/8
32,Lyon Court,26102,20
80,Madison Avenue,18603,14
